"code[unique]","name[lang=tr]","description[lang=tr]","cmsCategoryType(code)","site(code)[unique]"
"banner_cms","Banner Yönetimi","Banner Management","ban_cat","btc"
"category_cms","Kategori Yönetimi","Category Management","category_cat","btc"
"success_story_cms","Başarı Hikayeleri Yönetimi","Success Story Management","success_story_cat","btc"
"reference_cms","Referans Yönetimi","Reference Management","reference_cat","btc"
"partner_cms","Partner Yönetimi","Partner Management","reference_cat","btc"
"user_cms","Kullanıcı Yönetimi","User Management","user_cat","btc"
"product_cms","Ürün Yönetimi","Product Management","product_cat","btc"
"logo_cms","Logo Yönetimi","Logo Management","product_cat","btc"
"other_cms","Diğer Yönetimi","Other Management","other_cat","btc"
