"code[unique]","displayOrder","name[lang=tr]","name[lang=en]","name[lang=de]","name[lang=fr]","name[lang=es]","name[lang=it]","isRoot","active","menuType","site(code)[unique]"
"home","10","Anasayfa","Home","Startseite","Accueil","Inicio","Home","true","true","PUBLIC","btc"
"products","20","Ürünler","Products","Produkte","Produits","Productos","Prodotti","true","true","PUBLIC","btc"
"sap_services","30","SAP Servisleri","SAP Services","SAP-Dienste","Services SAP","Servicios SAP","Servizi SAP","true","true","PUBLIC","btc"
"sap_consulting_services","35","SAP Hizmetleri","SAP Consulting Services","SAP-Beratungsdienste","Services de conseil SAP","Servicios de consultoría SAP","Servizi di consulenza SAP","true","true","PUBLIC","btc"
"system_applications","40","Sistem Uygulamaları","System Applications","Systemanwendungen","Applications système","Aplicaciones del sistema","Applicazioni di sistema","true","true","PUBLIC","btc"
"software_services","45","Yazılım Hizmetleri","Software Services","Software-Dienstleistungen","Services logiciels","Servicios de software","Servizi software","true","true","PUBLIC","btc"
"industry_solutions","50","Sektörel Çözümler","Industry Solutions","Branchenlösungen","Solutions sectorielles","Soluciones sectoriales","Soluzioni settoriali","true","true","PUBLIC","btc"
"references","60","Referanslar","References","Referenzen","Références","Referencias","Referenze","true","true","PUBLIC","btc"
"success_stories","70","Başarı Hikayeleri","Success Stories","Erfolgsgeschichten","Histoires de réussite","Casos de éxito","Storie di successo","true","true","PUBLIC","btc"
