"code[unique]","name[lang=tr]","name[lang=en]","name[lang=de]","name[lang=fr]","name[lang=es]","name[lang=it]","site(code)[unique]"
"tr","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","btc"
"en","İngilizce","İngilizce","İngilizce","İngilizce","İngilizce","İngilizce","btc"
"de","Almanca","Almanca","Almanca","Almanca","Almanca","Almanca","btc"
"fr","Fransızca","Fransızca","Fransızca","Fransızca","Fransızca","Fransızca","btc"
"es","İspanyolca","İspanyolca","İspanyolca","İspanyolca","İspanyolca","İspanyolca","btc"
"it","İtalyanca","İtalyanca","İtalyanca","İtalyanca","İtalyanca","İtalyanca","btc"
